04-10-2021 00:00:06 Se inicia el registro: logRestHopu
04-10-2021 00:17:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:17:37 Se graban todos los datos correctamente
04-10-2021 00:18:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:18:07 Se graban todos los datos correctamente
04-10-2021 00:18:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:18:37 Se graban todos los datos correctamente
04-10-2021 00:19:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:19:07 Se graban todos los datos correctamente
04-10-2021 00:19:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:19:37 Se graban todos los datos correctamente
04-10-2021 00:20:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:20:07 Se graban todos los datos correctamente
04-10-2021 00:20:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:20:37 Se graban todos los datos correctamente
04-10-2021 00:21:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:21:07 Se graban todos los datos correctamente
04-10-2021 00:21:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:21:37 Se graban todos los datos correctamente
04-10-2021 00:22:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:22:07 Se graban todos los datos correctamente
04-10-2021 00:22:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:22:37 Se graban todos los datos correctamente
04-10-2021 00:23:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:23:07 Se graban todos los datos correctamente
04-10-2021 00:23:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:23:37 Se graban todos los datos correctamente
04-10-2021 00:24:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:24:07 Se graban todos los datos correctamente
04-10-2021 00:24:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:24:37 Se graban todos los datos correctamente
04-10-2021 00:25:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:25:07 Se graban todos los datos correctamente
04-10-2021 00:25:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:25:37 Se graban todos los datos correctamente
04-10-2021 00:26:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:26:07 Se graban todos los datos correctamente
04-10-2021 00:26:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:26:37 Se graban todos los datos correctamente
04-10-2021 00:27:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:27:07 Se graban todos los datos correctamente
04-10-2021 00:27:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:27:37 Se graban todos los datos correctamente
04-10-2021 00:28:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:28:07 Se graban todos los datos correctamente
04-10-2021 00:28:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:28:37 Se graban todos los datos correctamente
04-10-2021 00:29:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:29:07 Se graban todos los datos correctamente
04-10-2021 00:29:37 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:29:37 Se graban todos los datos correctamente
04-10-2021 00:30:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:30:07 Se graban todos los datos correctamente
04-10-2021 00:30:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:30:37 Se graban todos los datos correctamente
04-10-2021 00:31:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:31:07 Se graban todos los datos correctamente
04-10-2021 00:31:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:31:37 Se graban todos los datos correctamente
04-10-2021 00:32:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:32:07 Se graban todos los datos correctamente
04-10-2021 00:32:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:32:37 Se graban todos los datos correctamente
04-10-2021 00:33:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:33:07 Se graban todos los datos correctamente
04-10-2021 00:33:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:33:37 Se graban todos los datos correctamente
04-10-2021 00:34:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:34:07 Se graban todos los datos correctamente
04-10-2021 00:34:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:34:37 Se graban todos los datos correctamente
04-10-2021 00:35:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:35:07 Se graban todos los datos correctamente
04-10-2021 00:35:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:35:37 Se graban todos los datos correctamente
04-10-2021 00:36:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:36:07 Se graban todos los datos correctamente
04-10-2021 00:36:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:36:37 Se graban todos los datos correctamente
04-10-2021 00:37:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:37:07 Se graban todos los datos correctamente
04-10-2021 00:37:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:37:37 Se graban todos los datos correctamente
04-10-2021 00:38:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:38:07 Se graban todos los datos correctamente
04-10-2021 00:38:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:38:37 Se graban todos los datos correctamente
04-10-2021 00:39:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:39:07 Se graban todos los datos correctamente
04-10-2021 00:39:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:39:37 Se graban todos los datos correctamente
04-10-2021 00:40:07 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:40:07 Se graban todos los datos correctamente
04-10-2021 00:40:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:40:37 Se graban todos los datos correctamente
04-10-2021 00:41:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:41:07 Se graban todos los datos correctamente
04-10-2021 00:41:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:41:37 Se graban todos los datos correctamente
04-10-2021 00:42:07 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:42:07 Se graban todos los datos correctamente
04-10-2021 00:42:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:42:37 Se graban todos los datos correctamente
04-10-2021 00:43:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:43:07 Se graban todos los datos correctamente
04-10-2021 00:43:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:43:37 Se graban todos los datos correctamente
04-10-2021 00:44:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:44:07 Se graban todos los datos correctamente
04-10-2021 00:44:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:44:37 Se graban todos los datos correctamente
04-10-2021 00:45:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:45:07 Se graban todos los datos correctamente
04-10-2021 00:45:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:45:37 Se graban todos los datos correctamente
04-10-2021 00:46:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:46:07 Se graban todos los datos correctamente
04-10-2021 00:46:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:46:37 Se graban todos los datos correctamente
04-10-2021 00:47:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:47:07 Se graban todos los datos correctamente
04-10-2021 00:47:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:47:37 Se graban todos los datos correctamente
04-10-2021 00:48:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:48:07 Se graban todos los datos correctamente
04-10-2021 00:48:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:48:37 Se graban todos los datos correctamente
04-10-2021 00:49:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:49:07 Se graban todos los datos correctamente
04-10-2021 00:49:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:49:37 Se graban todos los datos correctamente
04-10-2021 00:50:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:50:07 Se graban todos los datos correctamente
04-10-2021 00:50:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:50:37 Se graban todos los datos correctamente
04-10-2021 00:51:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:51:07 Se graban todos los datos correctamente
04-10-2021 00:51:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:51:37 Se graban todos los datos correctamente
04-10-2021 00:52:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:52:07 Se graban todos los datos correctamente
04-10-2021 00:52:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:52:37 Se graban todos los datos correctamente
04-10-2021 00:53:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:53:07 Se graban todos los datos correctamente
04-10-2021 00:53:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:53:37 Se graban todos los datos correctamente
04-10-2021 00:54:07 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:54:07 Se graban todos los datos correctamente
04-10-2021 00:54:37 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:54:37 Se graban todos los datos correctamente
04-10-2021 00:55:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:55:07 Se graban todos los datos correctamente
04-10-2021 00:55:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:55:37 Se graban todos los datos correctamente
04-10-2021 00:56:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:56:07 Se graban todos los datos correctamente
04-10-2021 00:56:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:56:37 Se graban todos los datos correctamente
04-10-2021 00:57:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:57:07 Se graban todos los datos correctamente
04-10-2021 00:57:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:57:37 Se graban todos los datos correctamente
04-10-2021 00:58:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:58:07 Se graban todos los datos correctamente
04-10-2021 00:58:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:58:37 Se graban todos los datos correctamente
04-10-2021 00:59:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:59:07 Se graban todos los datos correctamente
04-10-2021 00:59:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 00:59:37 Se graban todos los datos correctamente
04-10-2021 01:00:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:00:07 Se graban todos los datos correctamente
04-10-2021 01:00:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:00:37 Se graban todos los datos correctamente
04-10-2021 01:01:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:01:07 Se graban todos los datos correctamente
04-10-2021 01:01:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:01:37 Se graban todos los datos correctamente
04-10-2021 01:02:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:02:07 Se graban todos los datos correctamente
04-10-2021 01:02:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:02:37 Se graban todos los datos correctamente
04-10-2021 01:03:07 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:03:07 Se graban todos los datos correctamente
04-10-2021 01:03:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:03:37 Se graban todos los datos correctamente
04-10-2021 01:04:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:04:07 Se graban todos los datos correctamente
04-10-2021 01:04:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:04:37 Se graban todos los datos correctamente
04-10-2021 01:05:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:05:07 Se graban todos los datos correctamente
04-10-2021 01:05:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:05:37 Se graban todos los datos correctamente
04-10-2021 01:06:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:06:07 Se graban todos los datos correctamente
04-10-2021 01:06:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:06:37 Se graban todos los datos correctamente
04-10-2021 01:07:07 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:07:07 Se graban todos los datos correctamente
04-10-2021 01:07:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:07:37 Se graban todos los datos correctamente
04-10-2021 01:08:07 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:08:07 Se graban todos los datos correctamente
04-10-2021 01:08:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:08:37 Se graban todos los datos correctamente
04-10-2021 01:09:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:09:07 Se graban todos los datos correctamente
04-10-2021 01:09:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:09:37 Se graban todos los datos correctamente
04-10-2021 01:10:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:10:07 Se graban todos los datos correctamente
04-10-2021 01:10:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:10:37 Se graban todos los datos correctamente
04-10-2021 01:11:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:11:07 Se graban todos los datos correctamente
04-10-2021 01:11:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:11:37 Se graban todos los datos correctamente
04-10-2021 01:12:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:12:07 Se graban todos los datos correctamente
04-10-2021 01:12:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:12:37 Se graban todos los datos correctamente
04-10-2021 01:13:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:13:07 Se graban todos los datos correctamente
04-10-2021 01:13:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:13:37 Se graban todos los datos correctamente
04-10-2021 01:14:07 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:14:07 Se graban todos los datos correctamente
04-10-2021 01:14:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:14:37 Se graban todos los datos correctamente
04-10-2021 01:15:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:15:07 Se graban todos los datos correctamente
04-10-2021 01:15:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:15:37 Se graban todos los datos correctamente
04-10-2021 01:16:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:16:07 Se graban todos los datos correctamente
04-10-2021 01:16:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:16:37 Se graban todos los datos correctamente
04-10-2021 01:17:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:17:07 Se graban todos los datos correctamente
04-10-2021 01:17:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:17:37 Se graban todos los datos correctamente
04-10-2021 01:18:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:18:07 Se graban todos los datos correctamente
04-10-2021 01:18:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:18:37 Se graban todos los datos correctamente
04-10-2021 01:19:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:19:07 Se graban todos los datos correctamente
04-10-2021 01:19:37 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:19:37 Se graban todos los datos correctamente
04-10-2021 01:20:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:20:07 Se graban todos los datos correctamente
04-10-2021 01:20:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:20:37 Se graban todos los datos correctamente
04-10-2021 01:21:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:21:07 Se graban todos los datos correctamente
04-10-2021 01:21:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:21:37 Se graban todos los datos correctamente
04-10-2021 01:22:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:22:07 Se graban todos los datos correctamente
04-10-2021 01:22:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:22:37 Se graban todos los datos correctamente
04-10-2021 01:23:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:23:07 Se graban todos los datos correctamente
04-10-2021 01:23:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:23:37 Se graban todos los datos correctamente
04-10-2021 01:24:07 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:24:07 Se graban todos los datos correctamente
04-10-2021 01:24:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:24:37 Se graban todos los datos correctamente
04-10-2021 01:25:07 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:25:07 Se graban todos los datos correctamente
04-10-2021 01:25:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:25:37 Se graban todos los datos correctamente
04-10-2021 01:26:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:26:07 Se graban todos los datos correctamente
04-10-2021 01:26:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:26:37 Se graban todos los datos correctamente
04-10-2021 01:27:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:27:07 Se graban todos los datos correctamente
04-10-2021 01:27:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:27:37 Se graban todos los datos correctamente
04-10-2021 01:28:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:28:07 Se graban todos los datos correctamente
04-10-2021 01:28:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:28:37 Se graban todos los datos correctamente
04-10-2021 01:29:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:29:07 Se graban todos los datos correctamente
04-10-2021 01:29:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:29:37 Se graban todos los datos correctamente
04-10-2021 01:30:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:30:07 Se graban todos los datos correctamente
04-10-2021 01:30:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:30:37 Se graban todos los datos correctamente
04-10-2021 01:31:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:31:07 Se graban todos los datos correctamente
04-10-2021 01:31:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:31:37 Se graban todos los datos correctamente
04-10-2021 01:32:07 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:32:07 Se graban todos los datos correctamente
04-10-2021 01:32:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:32:37 Se graban todos los datos correctamente
04-10-2021 01:33:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:33:07 Se graban todos los datos correctamente
04-10-2021 01:33:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:33:37 Se graban todos los datos correctamente
04-10-2021 01:34:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:34:07 Se graban todos los datos correctamente
04-10-2021 01:34:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:34:37 Se graban todos los datos correctamente
04-10-2021 01:35:07 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:35:07 Se graban todos los datos correctamente
04-10-2021 01:35:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:35:37 Se graban todos los datos correctamente
04-10-2021 01:36:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:36:07 Se graban todos los datos correctamente
04-10-2021 01:36:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:36:37 Se graban todos los datos correctamente
04-10-2021 01:37:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:37:07 Se graban todos los datos correctamente
04-10-2021 01:37:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:37:37 Se graban todos los datos correctamente
04-10-2021 01:38:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:38:07 Se graban todos los datos correctamente
04-10-2021 01:38:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:38:37 Se graban todos los datos correctamente
04-10-2021 01:39:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:39:07 Se graban todos los datos correctamente
04-10-2021 01:39:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:39:37 Se graban todos los datos correctamente
04-10-2021 01:40:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:40:07 Se graban todos los datos correctamente
04-10-2021 01:40:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:40:37 Se graban todos los datos correctamente
04-10-2021 01:41:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:41:07 Se graban todos los datos correctamente
04-10-2021 01:41:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:41:37 Se graban todos los datos correctamente
04-10-2021 01:42:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:42:07 Se graban todos los datos correctamente
04-10-2021 01:42:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:42:37 Se graban todos los datos correctamente
04-10-2021 01:43:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:43:07 Se graban todos los datos correctamente
04-10-2021 01:43:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:43:37 Se graban todos los datos correctamente
04-10-2021 01:44:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:44:07 Se graban todos los datos correctamente
04-10-2021 01:44:37 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:44:37 Se graban todos los datos correctamente
04-10-2021 01:45:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:45:07 Se graban todos los datos correctamente
04-10-2021 01:45:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:45:37 Se graban todos los datos correctamente
04-10-2021 01:46:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:46:07 Se graban todos los datos correctamente
04-10-2021 01:46:37 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:46:37 Se graban todos los datos correctamente
04-10-2021 01:47:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:47:07 Se graban todos los datos correctamente
04-10-2021 01:47:36 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:47:37 Se graban todos los datos correctamente
04-10-2021 01:48:06 El dispositivo responde -> operationalStatus: CONNECTED
04-10-2021 01:48:07 Se graban todos los datos correctamente
04-10-2021 01:48:36 El dispositivo responde -> operationalStatus: CONNECTED
