01-10-2021 09:59:36 Se inicia el registro: logRestHopu
01-10-2021 10:10:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:10:37 Se graban todos los datos correctamente
01-10-2021 10:11:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:11:07 Se graban todos los datos correctamente
01-10-2021 10:11:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:11:37 Se graban todos los datos correctamente
01-10-2021 10:12:07 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:12:07 Se graban todos los datos correctamente
01-10-2021 10:12:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:12:37 Se graban todos los datos correctamente
01-10-2021 10:13:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:13:07 Se graban todos los datos correctamente
01-10-2021 10:13:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:13:37 Se graban todos los datos correctamente
01-10-2021 10:14:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:14:07 Se graban todos los datos correctamente
01-10-2021 10:14:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:14:37 Se graban todos los datos correctamente
01-10-2021 10:15:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:15:07 Se graban todos los datos correctamente
01-10-2021 10:15:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:15:37 Se graban todos los datos correctamente
01-10-2021 10:16:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:16:07 Se graban todos los datos correctamente
01-10-2021 10:16:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:16:37 Se graban todos los datos correctamente
01-10-2021 10:17:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:17:07 Se graban todos los datos correctamente
01-10-2021 10:17:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:17:37 Se graban todos los datos correctamente
01-10-2021 10:18:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:18:07 Se graban todos los datos correctamente
01-10-2021 10:18:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:18:37 Se graban todos los datos correctamente
01-10-2021 10:19:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:19:07 Se graban todos los datos correctamente
01-10-2021 10:19:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:19:37 Se graban todos los datos correctamente
01-10-2021 10:20:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:20:07 Se graban todos los datos correctamente
01-10-2021 10:20:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:20:37 Se graban todos los datos correctamente
01-10-2021 10:21:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:21:07 Se graban todos los datos correctamente
01-10-2021 10:21:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:21:37 Se graban todos los datos correctamente
01-10-2021 10:22:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:22:07 Se graban todos los datos correctamente
01-10-2021 10:22:37 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:22:37 Se graban todos los datos correctamente
01-10-2021 10:23:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:23:07 Se graban todos los datos correctamente
01-10-2021 10:23:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:23:37 Se graban todos los datos correctamente
01-10-2021 10:24:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:24:07 Se graban todos los datos correctamente
01-10-2021 10:24:37 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:24:37 Se graban todos los datos correctamente
01-10-2021 10:25:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:25:07 Se graban todos los datos correctamente
01-10-2021 10:25:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:25:37 Se graban todos los datos correctamente
01-10-2021 10:26:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:26:07 Se graban todos los datos correctamente
01-10-2021 10:26:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:26:37 Se graban todos los datos correctamente
01-10-2021 10:27:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:27:07 Se graban todos los datos correctamente
01-10-2021 10:27:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:27:37 Se graban todos los datos correctamente
01-10-2021 10:28:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:28:07 Se graban todos los datos correctamente
01-10-2021 10:28:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:28:37 Se graban todos los datos correctamente
01-10-2021 10:29:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:29:07 Se graban todos los datos correctamente
01-10-2021 10:29:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:29:37 Se graban todos los datos correctamente
01-10-2021 10:30:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:30:07 Se graban todos los datos correctamente
01-10-2021 10:30:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:30:37 Se graban todos los datos correctamente
01-10-2021 10:31:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:31:07 Se graban todos los datos correctamente
01-10-2021 10:31:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:31:37 Se graban todos los datos correctamente
01-10-2021 10:32:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:32:07 Se graban todos los datos correctamente
01-10-2021 10:32:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:32:37 Se graban todos los datos correctamente
01-10-2021 10:33:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:33:07 Se graban todos los datos correctamente
01-10-2021 10:33:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:33:37 Se graban todos los datos correctamente
01-10-2021 10:34:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:34:07 Se graban todos los datos correctamente
01-10-2021 10:34:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:34:37 Se graban todos los datos correctamente
01-10-2021 10:35:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:35:07 Se graban todos los datos correctamente
01-10-2021 10:35:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:35:37 Se graban todos los datos correctamente
01-10-2021 10:36:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:36:07 Se graban todos los datos correctamente
01-10-2021 10:36:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:36:37 Se graban todos los datos correctamente
01-10-2021 10:37:07 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:37:07 Se graban todos los datos correctamente
01-10-2021 10:37:37 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:37:37 Se graban todos los datos correctamente
01-10-2021 10:38:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:38:07 Se graban todos los datos correctamente
01-10-2021 10:38:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:38:37 Se graban todos los datos correctamente
01-10-2021 10:39:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:39:07 Se graban todos los datos correctamente
01-10-2021 10:39:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:39:37 Se graban todos los datos correctamente
01-10-2021 10:40:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:40:07 Se graban todos los datos correctamente
01-10-2021 10:40:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:40:37 Se graban todos los datos correctamente
01-10-2021 10:41:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:41:07 Se graban todos los datos correctamente
01-10-2021 10:41:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:41:37 Se graban todos los datos correctamente
01-10-2021 10:42:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:42:07 Se graban todos los datos correctamente
01-10-2021 10:42:37 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:42:37 Se graban todos los datos correctamente
01-10-2021 10:43:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:43:07 Se graban todos los datos correctamente
01-10-2021 10:43:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:43:37 Se graban todos los datos correctamente
01-10-2021 10:44:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:44:07 Se graban todos los datos correctamente
01-10-2021 10:44:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:44:37 Se graban todos los datos correctamente
01-10-2021 10:45:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:45:07 Se graban todos los datos correctamente
01-10-2021 10:45:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:45:37 Se graban todos los datos correctamente
01-10-2021 10:46:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:46:07 Se graban todos los datos correctamente
01-10-2021 10:46:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:46:37 Se graban todos los datos correctamente
01-10-2021 10:47:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:47:07 Se graban todos los datos correctamente
01-10-2021 10:47:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:47:37 Se graban todos los datos correctamente
01-10-2021 10:48:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:48:07 Se graban todos los datos correctamente
01-10-2021 10:48:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:48:37 Se graban todos los datos correctamente
01-10-2021 10:49:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:49:07 Se graban todos los datos correctamente
01-10-2021 10:49:37 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:49:37 Se graban todos los datos correctamente
01-10-2021 10:50:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:50:07 Se graban todos los datos correctamente
01-10-2021 10:50:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:50:37 Se graban todos los datos correctamente
01-10-2021 10:51:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:51:07 Se graban todos los datos correctamente
01-10-2021 10:51:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:51:37 Se graban todos los datos correctamente
01-10-2021 10:52:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:52:07 Se graban todos los datos correctamente
01-10-2021 10:52:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:52:37 Se graban todos los datos correctamente
01-10-2021 10:53:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:53:07 Se graban todos los datos correctamente
01-10-2021 10:53:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:53:37 Se graban todos los datos correctamente
01-10-2021 10:54:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:54:07 Se graban todos los datos correctamente
01-10-2021 10:54:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:54:37 Se graban todos los datos correctamente
01-10-2021 10:55:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:55:07 Se graban todos los datos correctamente
01-10-2021 10:55:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:55:37 Se graban todos los datos correctamente
01-10-2021 10:56:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:56:07 Se graban todos los datos correctamente
01-10-2021 10:56:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:56:37 Se graban todos los datos correctamente
01-10-2021 10:57:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:57:07 Se graban todos los datos correctamente
01-10-2021 10:57:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:57:37 Se graban todos los datos correctamente
01-10-2021 10:58:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:58:07 Se graban todos los datos correctamente
01-10-2021 10:58:37 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:58:37 Se graban todos los datos correctamente
01-10-2021 10:59:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:59:07 Se graban todos los datos correctamente
01-10-2021 10:59:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 10:59:37 Se graban todos los datos correctamente
01-10-2021 11:00:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:00:07 Se graban todos los datos correctamente
01-10-2021 11:00:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:00:37 Se graban todos los datos correctamente
01-10-2021 11:01:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:01:07 Se graban todos los datos correctamente
01-10-2021 11:01:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:01:37 Se graban todos los datos correctamente
01-10-2021 11:02:07 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:02:07 Se graban todos los datos correctamente
01-10-2021 11:02:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:02:37 Se graban todos los datos correctamente
01-10-2021 11:03:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:03:07 Se graban todos los datos correctamente
01-10-2021 11:03:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:03:37 Se graban todos los datos correctamente
01-10-2021 11:04:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:04:07 Se graban todos los datos correctamente
01-10-2021 11:04:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:04:37 Se graban todos los datos correctamente
01-10-2021 11:05:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:05:07 Se graban todos los datos correctamente
01-10-2021 11:05:37 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:05:38 Se graban todos los datos correctamente
01-10-2021 11:06:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:06:07 Se graban todos los datos correctamente
01-10-2021 11:06:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:06:37 Se graban todos los datos correctamente
01-10-2021 11:07:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:07:07 Se graban todos los datos correctamente
01-10-2021 11:07:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:07:37 Se graban todos los datos correctamente
01-10-2021 11:08:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:08:07 Se graban todos los datos correctamente
01-10-2021 11:08:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:08:37 Se graban todos los datos correctamente
01-10-2021 11:09:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:09:07 Se graban todos los datos correctamente
01-10-2021 11:09:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:09:37 Se graban todos los datos correctamente
01-10-2021 11:10:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:10:07 Se graban todos los datos correctamente
01-10-2021 11:10:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:10:37 Se graban todos los datos correctamente
01-10-2021 11:11:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:11:07 Se graban todos los datos correctamente
01-10-2021 11:11:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:11:37 Se graban todos los datos correctamente
01-10-2021 11:12:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:12:07 Se graban todos los datos correctamente
01-10-2021 11:12:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:12:37 Se graban todos los datos correctamente
01-10-2021 11:13:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:13:07 Se graban todos los datos correctamente
01-10-2021 11:13:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:13:37 Se graban todos los datos correctamente
01-10-2021 11:14:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:14:07 Se graban todos los datos correctamente
01-10-2021 11:14:37 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:14:37 Se graban todos los datos correctamente
01-10-2021 11:15:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:15:07 Se graban todos los datos correctamente
01-10-2021 11:15:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:15:37 Se graban todos los datos correctamente
01-10-2021 11:16:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:16:07 Se graban todos los datos correctamente
01-10-2021 11:16:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:16:37 Se graban todos los datos correctamente
01-10-2021 11:17:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:17:07 Se graban todos los datos correctamente
01-10-2021 11:17:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:17:37 Se graban todos los datos correctamente
01-10-2021 11:18:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:18:07 Se graban todos los datos correctamente
01-10-2021 11:18:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:18:37 Se graban todos los datos correctamente
01-10-2021 11:19:07 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:19:07 Se graban todos los datos correctamente
01-10-2021 11:19:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:19:37 Se graban todos los datos correctamente
01-10-2021 11:20:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:20:07 Se graban todos los datos correctamente
01-10-2021 11:20:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:20:37 Se graban todos los datos correctamente
01-10-2021 11:20:47 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:20:48 Se graban todos los datos correctamente
01-10-2021 11:21:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:21:07 Se graban todos los datos correctamente
01-10-2021 11:21:27 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:21:27 Se graban todos los datos correctamente
01-10-2021 11:21:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:21:37 Se graban todos los datos correctamente
01-10-2021 11:22:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:22:07 Se graban todos los datos correctamente
01-10-2021 11:22:07 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:22:07 Se graban todos los datos correctamente
01-10-2021 11:22:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:22:37 Se graban todos los datos correctamente
01-10-2021 11:22:47 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:22:47 Se graban todos los datos correctamente
01-10-2021 11:23:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:23:07 Se graban todos los datos correctamente
01-10-2021 11:23:27 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:23:27 Se graban todos los datos correctamente
01-10-2021 11:23:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:23:37 Se graban todos los datos correctamente
01-10-2021 11:24:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:24:07 Se graban todos los datos correctamente
01-10-2021 11:24:07 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:24:07 Se graban todos los datos correctamente
01-10-2021 11:24:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:24:37 Se graban todos los datos correctamente
01-10-2021 11:24:47 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:24:47 Se graban todos los datos correctamente
01-10-2021 11:25:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:25:07 Se graban todos los datos correctamente
01-10-2021 11:25:27 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:25:27 Se graban todos los datos correctamente
01-10-2021 11:25:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:25:37 Se graban todos los datos correctamente
01-10-2021 11:26:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:26:07 Se graban todos los datos correctamente
01-10-2021 11:26:07 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:26:07 Se graban todos los datos correctamente
01-10-2021 11:26:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:26:37 Se graban todos los datos correctamente
01-10-2021 11:26:47 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:26:47 Se graban todos los datos correctamente
01-10-2021 11:27:07 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:27:07 Se graban todos los datos correctamente
01-10-2021 11:27:27 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:27:27 Se graban todos los datos correctamente
01-10-2021 11:27:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:27:37 Se graban todos los datos correctamente
01-10-2021 11:28:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:28:07 Se graban todos los datos correctamente
01-10-2021 11:28:07 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:28:07 Se graban todos los datos correctamente
01-10-2021 11:28:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:28:37 Se graban todos los datos correctamente
01-10-2021 11:28:47 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:28:47 Se graban todos los datos correctamente
01-10-2021 11:29:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:29:07 Se graban todos los datos correctamente
01-10-2021 11:29:27 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:29:27 Se graban todos los datos correctamente
01-10-2021 11:29:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:29:37 Se graban todos los datos correctamente
01-10-2021 11:30:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:30:07 Se graban todos los datos correctamente
01-10-2021 11:30:07 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:30:07 Se graban todos los datos correctamente
01-10-2021 11:30:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:30:37 Se graban todos los datos correctamente
01-10-2021 11:30:47 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:30:47 Se graban todos los datos correctamente
01-10-2021 11:31:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:31:07 Se graban todos los datos correctamente
01-10-2021 11:31:27 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:31:27 Se graban todos los datos correctamente
01-10-2021 11:31:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:31:37 Se graban todos los datos correctamente
01-10-2021 11:32:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:32:07 Se graban todos los datos correctamente
01-10-2021 11:32:07 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:32:07 Se graban todos los datos correctamente
01-10-2021 11:32:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:32:37 Se graban todos los datos correctamente
01-10-2021 11:32:47 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:32:47 Se graban todos los datos correctamente
01-10-2021 11:33:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:33:07 Se graban todos los datos correctamente
01-10-2021 11:33:27 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:33:27 Se graban todos los datos correctamente
01-10-2021 11:33:37 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:33:37 Se graban todos los datos correctamente
01-10-2021 11:34:07 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:34:07 Se graban todos los datos correctamente
01-10-2021 11:34:07 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:34:07 Se graban todos los datos correctamente
01-10-2021 11:34:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:34:37 Se graban todos los datos correctamente
01-10-2021 11:34:47 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:34:47 Se graban todos los datos correctamente
01-10-2021 11:35:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:35:07 Se graban todos los datos correctamente
01-10-2021 11:35:27 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:35:27 Se graban todos los datos correctamente
01-10-2021 11:35:36 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:35:37 Se graban todos los datos correctamente
01-10-2021 11:36:06 El dispositivo responde -> operationalStatus: CONNECTED
01-10-2021 11:36:07 Se graban todos los datos correctamente
01-10-2021 11:36:07 El dispositivo responde -> operationalStatus: CONNECTED
